Código,Nombre común,Nombre científico,Tipo de planta
ST-213,,Citrus x japonica 'Mandarinquat Nippon',FRONDOSA
ST-214,,Citrus x floridiana,FRONDOSA
ST-211,,Citrus x microcarpa,FRONDOSA
CA-103,,Cleistocactus hyalacanthus,CACTACEA/SUCULENTA
CA-104,,Cleistocactus orthogonus,CACTACEA/SUCULENTA
CA-105,,Cleistocactus samaipatanus,CACTACEA/SUCULENTA
CA-106,,Cleistocactus sp,CACTACEA/SUCULENTA
CA-108,,Cleistocactus tupizensis,CACTACEA/SUCULENTA
CA-109,,Cleistocactus winteri,CACTACEA/SUCULENTA
CA-110,,Cleistocactus winteri f. cristata,CACTACEA/SUCULENTA
ST-141,,Clerodendrum chinense,SUBTROPICAL/TROPICAL
TR-268,,Clerodendrum paniculatum,SUBTROPICAL/TROPICAL
TR-269,,Clerodendrum thomsoniae,SUBTROPICAL/TROPICAL
ST-008,,Clivia miniata,HERB_PERENNES
TR-377,,Coccoloba uvifera,SUBTROPICAL/TROPICAL
CA-111,,Cochemiea poselgeri,CACTACEA/SUCULENTA
TR-385,,Coffea arabica,SUBTROPICAL/TROPICAL
TR-068,,Colocasia esculenta 'Black Magic',SUBTROPICAL/TROPICAL
ST-100,,Convolvulus floridus,TAPIZANTE/TREPADORA
TR-109,,Copernicia alba,SUBTROPICAL/TROPICAL
CA-112,,Copiapoa montana subsp. grandiflora,CACTACEA/SUCULENTA
TR-132,,Cordyline fruticosa 'Attom',SUBTROPICAL/TROPICAL
TR-133,,Cordyline fruticosa 'Kiwi',SUBTROPICAL/TROPICAL
TR-134,,Cordyline fruticosa 'Naomi',SUBTROPICAL/TROPICAL
CA-114,,Coryphantha cornifera,CACTACEA/SUCULENTA
CA-113,,Coryphantha kracikii,CACTACEA/SUCULENTA
CA-115,,Coryphantha pycnacantha,CACTACEA/SUCULENTA
TR-240,,Costus amazonicus,SUBTROPICAL/TROPICAL
TR-241,,Costus barbatus,SUBTROPICAL/TROPICAL
CA-308,,Cotyledon tomentosa subsp. ladismithiensis,CACTACEA/SUCULENTA
CA-229,,Neobuxbaumia tetezo,CACTACEA/SUCULENTA
CA-310,,Cotyledon orbiculata var. oblonga,CACTACEA/SUCULENTA
TR-410,,Coussapoa microcarpa,SUBTROPICAL/TROPICAL
TR-411,,Coussapoa villosa,SUBTROPICAL/TROPICAL
CA-312,,Crassula exilis,CACTACEA/SUCULENTA
TR-391,,Murraya paniculata,SUBTROPICAL/TROPICAL
CA-314,,Crassula mucosa,CACTACEA/SUCULENTA
CA-315,,Crassula ovata,CACTACEA/SUCULENTA
CA-316,,Crassula ovata 'Gollum',CACTACEA/SUCULENTA
CA-317,,Crassula ovata 'Hummel´s Sunset',CACTACEA/SUCULENTA
CA-318,,Crassula rupestris,CACTACEA/SUCULENTA
CA-319,,Crassula sarmentosa 'Variegata',CACTACEA/SUCULENTA
MKA,Morera japonesa,Morus kagayamae,FRONDOSA
TR-037,,Crinum x amabile,SUBTROPICAL/TROPICAL
TR-036,,Crinum asiaticum,SUBTROPICAL/TROPICAL
ST-010,,Crinum x powellii,SUBTROPICAL/TROPICAL
TR-001,,Crossandra infundibuliformis,SUBTROPICAL/TROPICAL
TR-188,,Cryptanthus bivittatus,SUBTROPICAL/TROPICAL
TR-320,,Medinilla magnifica,SUBTROPICAL/TROPICAL
TR-313,,Ctenanthe lubbersiana,SUBTROPICAL/TROPICAL
TR-290,,Cuphea hyssopifolia,SUBTROPICAL/TROPICAL
TR-291,,Cuphea ignea,SUBTROPICAL/TROPICAL
TR-293,,Cuphea llavea 'Sriracha',SUBTROPICAL/TROPICAL
ST-237,,Curcuma longa,SUBTROPICAL/TROPICAL
ST-094,,Cyanotis robusta,SUBTROPICAL/TROPICAL
TR-219,,Cyanotis somaliensis,SUBTROPICAL/TROPICAL
TR-368,Limonaria,Cymbopogon citratus,SUBTROPICAL/TROPICAL
TR-243,,Cyperus haspan,HERB_PERENNES
TR-244,,Cyperus papyrus,HERB_PERENNES
TR-401,Tamarillo,Cyphomandra betacea,SUBTROPICAL/TROPICAL
TR-254,,Dalechampia dioscoreifolia,SUBTROPICAL/TROPICAL
CA-066,,Dasylirion acrotrichum,CACTACEA/SUCULENTA
CA-067,,Dasylirion serratifolium,CACTACEA/SUCULENTA
TR-245,,Davallia trichomanoides,SUBTROPICAL/TROPICAL
ST-096,,Delairea odorata,SUBTROPICAL/TROPICAL
CA-002,,Delosperma echinatum,CACTACEA/SUCULENTA
CA-004,,Delosperma sphalmantoides,CACTACEA/SUCULENTA
CA-080,,Deuterocohnia brevifolia,CACTACEA/SUCULENTA
TR-420,,Dianella tasmanica 'Variegata',HERB_PERENNES
TR-220,,Dichorisandra thyrsiflora,SUBTROPICAL/TROPICAL
ST-104,,Rhynchospora latifolia,HERB_PERENNES
ST-106,,Dicksonia squarrosa,SUBTROPICAL/TROPICAL
TR-069,,Dieffenbachia seguine,SUBTROPICAL/TROPICAL
TR-392,,Dimocarpus longan,SUBTROPICAL/TROPICAL
ST-234,,Dioon spinulosum,SUBTROPICAL/TROPICAL
CA-349,,Dioscorea elephantipes,CACTACEA/SUCULENTA
TR-248,,Diospyros digyna,FRONDOSA
TR-053,,Dischidia ruscifolia,SUBTROPICAL/TROPICAL
TR-259,,Dovyalis caffra,SUBTROPICAL/TROPICAL
TR-135,,Dracaena arborea,SUBTROPICAL/TROPICAL
TR-138,,Dracaena fragans,SUBTROPICAL/TROPICAL
TR-136,,Dracaena fragans 'Janet Craig',SUBTROPICAL/TROPICAL
TR-139,,Dracaena fragans 'Lindeni',SUBTROPICAL/TROPICAL
TR-141,,Dracaena reflexa 'Song of India',SUBTROPICAL/TROPICAL
TR-142,,Dracaena surculosa,SUBTROPICAL/TROPICAL
CA-005,,Drosanthemum floribundum,CACTACEA/SUCULENTA
CA-006,,Drosanthemum speciosum,CACTACEA/SUCULENTA
ST-046,,Dypsis pembana,SUBTROPICAL/TROPICAL
CA-321,,Echeveria elegans,CACTACEA/SUCULENTA
CA-323,,Echeveria liliacina,CACTACEA/SUCULENTA
CA-324,,Echeveria pulvinata,CACTACEA/SUCULENTA
CA-325,,Echeveria runyonii,CACTACEA/SUCULENTA
CA-326,,Echeveria setosa var. deminuta,CACTACEA/SUCULENTA
CA-327,,Echeveria shaviana,CACTACEA/SUCULENTA
CA-118,,Echinocactus grusonii var. albispinus,CACTACEA/SUCULENTA
CA-119,,Echinocactus grusonii var. brevispinus,CACTACEA/SUCULENTA
CA-120,,Echinocactus platyacanthus,CACTACEA/SUCULENTA
CA-125,,Echinocereus enneacanthus var. brevispinus,CACTACEA/SUCULENTA
CA-126,,Echinocereus pentalophus,CACTACEA/SUCULENTA
CA-127,,Echinocereus rigidissimus 'Rubispinus',CACTACEA/SUCULENTA
CA-129,,Echinofossulocactus albatus,CACTACEA/SUCULENTA
CA-130,,Echinopsis arachnacantha,CACTACEA/SUCULENTA
CA-131,,Echinopsis atacamensis,CACTACEA/SUCULENTA
CA-132,,Echinopsis atacamensis subsp. pasacana,CACTACEA/SUCULENTA
CA-133,,Echinopsis bridgesii f. monstruosa,CACTACEA/SUCULENTA
CA-134,,Echinopsis candicans,CACTACEA/SUCULENTA
CA-135,,Echinopsis chamaecereus,CACTACEA/SUCULENTA
CA-136,,Echinopsis chiloensis,CACTACEA/SUCULENTA
TR-054,,Mandevilla sanderi,TAPIZANTE/TREPADORA
CA-138,,Echinopsis formosa,CACTACEA/SUCULENTA
CA-139,,Echinopsis formosa subsp. bruchii,CACTACEA/SUCULENTA
CA-140,,Echinopsis huascha,CACTACEA/SUCULENTA
CA-141,,Echinopsis leucantha,CACTACEA/SUCULENTA
CA-142,,Echinopsis oxygona,CACTACEA/SUCULENTA
CA-216,,Mammillaria setispina,CACTACEA/SUCULENTA
CA-144,,Echinopsis peruviana,CACTACEA/SUCULENTA
CA-145,,Echinopsis subdenudata,CACTACEA/SUCULENTA
CA-146,,Echinopsis tarijensis,CACTACEA/SUCULENTA
CA-147,,Echinopsis terscheckii,CACTACEA/SUCULENTA
ST-085,,Echium pininana,SUBTROPICAL/TROPICAL
CA-210,,Mammillaria geminispina,CACTACEA/SUCULENTA
CA-155,,Eriocactus warasii,CACTACEA/SUCULENTA
CA-156,,Eriosyce senilis,CACTACEA/SUCULENTA
ST-156,,Erythrina caffra,SUBTROPICAL/TROPICAL
CA-157,,Espostoa guentheri,CACTACEA/SUCULENTA
CA-158,,Espostoa lanata var. churinensis,CACTACEA/SUCULENTA
CA-159,,Espostoa melanostele,CACTACEA/SUCULENTA
CA-202,,Mammillaria backerbergiana subsp. ernestii,CACTACEA/SUCULENTA
CA-350,,Euphorbia abyssinica,HERB_PERENNES
CA-351,,Euphorbia aeruginosa,HERB_PERENNES
CA-352,,Euphorbia ammak,HERB_PERENNES
CA-353,,Euphorbia avasmontana,HERB_PERENNES
CA-354,,Euphorbia canariensis,HERB_PERENNES
CA-355,,Euphorbia candelabrum,HERB_PERENNES
CA-356,,Euphorbia curvirama,HERB_PERENNES
CA-357,,Euphorbia delphinensis,HERB_PERENNES
CA-359,,Euphorbia horrida,HERB_PERENNES
CA-360,,Euphorbia horrida 'Alba',HERB_PERENNES
TR-257,,Euphorbia hypericifolia 'Diamond Frost',HERB_PERENNES
CA-361,,Euphorbia inermis,HERB_PERENNES
CA-362,,Euphorbia lactea,HERB_PERENNES
CA-363,,Euphorbia ledienii,HERB_PERENNES
CA-364,,Euphorbia mammillaris,HERB_PERENNES
CA-365,,Euphorbia milii 'Keysii',HERB_PERENNES
CA-366,,Euphorbia milii var. breoni,HERB_PERENNES
CA-367,,Euphorbia milii var. roseana,HERB_PERENNES
CA-368,,Euphorbia neococcinea,HERB_PERENNES
CA-369,,Euphorbia neriifolia f. cristata,HERB_PERENNES
CA-370,,Euphorbia obesa,HERB_PERENNES
CA-371,,Euphorbia polycantha,HERB_PERENNES
CA-373,,Euphorbia resinifera,HERB_PERENNES
CA-375,,Euphorbia stellata,HERB_PERENNES
CA-376,,Euphorbia stenoclada,HERB_PERENNES
CA-378,,Euphorbia susannae,HERB_PERENNES
CA-380,,Euphorbia trigona 'Rubra',HERB_PERENNES
CA-381,,Euphorbia umbellata 'Rubra',HERB_PERENNES
CA-382,,Euphorbia waterbergensis,HERB_PERENNES
CA-383,,Euphorbia xylophylloides,HERB_PERENNES
ST-031,,Fatsia japonica 'Variegata',HERB_PERENNES
CA-007,,Faucaria tigrina,CACTACEA/SUCULENTA
CA-161,,Ferocactus chrysacanthus,CACTACEA/SUCULENTA
CA-162,,Ferocactus emoryi,CACTACEA/SUCULENTA
CA-163,,Ferocactus emoryi subsp. rectispinus,CACTACEA/SUCULENTA
CA-164,,Ferocactus glaucescens,CACTACEA/SUCULENTA
CA-166,,Ferocactus gracilis subsp. coloratus,CACTACEA/SUCULENTA
CA-167,,Ferocactus hamatacanthus,CACTACEA/SUCULENTA
CA-168,,Ferocactus herrerae,CACTACEA/SUCULENTA
CA-169,,Ferocactus histrix,CACTACEA/SUCULENTA
CA-170,,Ferocactus peninsulae,CACTACEA/SUCULENTA
CA-171,,Ferocactus pottsii,CACTACEA/SUCULENTA
CA-172,,Ferocactus recurvus,CACTACEA/SUCULENTA
CA-173,,Ferocactus robustus,CACTACEA/SUCULENTA
TR-331,,Ficus benjamina 'Golden King',SUBTROPICAL/TROPICAL
TR-329,,Ficus benjamina 'Reginald',SUBTROPICAL/TROPICAL
TR-336,,Ficus microcarpa,SUBTROPICAL/TROPICAL
TR-337,,Ficus pumila,TAPIZANTE/TREPADORA
TR-338,,Ficus sagittata,SUBTROPICAL/TROPICAL
TR-339,,Ficus sagittata 'Variegata',SUBTROPICAL/TROPICAL
TR-002,,Fittonia albivenis,SUBTROPICAL/TROPICAL
CA-031,,Fockea edulis,CACTACEA/SUCULENTA
CA-177,,Frailea mammifera,CACTACEA/SUCULENTA
CA-069,,Furcraea selloa var. marginata,CACTACEA/SUCULENTA
CA-410,,Gasteria grusonii,CACTACEA/SUCULENTA
CA-411,,Gasteria 'Little Warty',CACTACEA/SUCULENTA
CA-412,,Gasteria oblicua,CACTACEA/SUCULENTA
CA-414,,Gasteria carinata var. verrucosa,CACTACEA/SUCULENTA
TR-221,,Gibasis pellucida,SUBTROPICAL/TROPICAL
MAR,Malvavisco,Malvaviscus arboreus,ARBUSTO
ST-192,,Grevillea banksii,SUBTROPICAL/TROPICAL
TR-189,,Guzmania lingulata,SUBTROPICAL/TROPICAL
TR-190,,Guzmania zahnii 'Variegata',SUBTROPICAL/TROPICAL
CA-178,,Gymnocalycium anisitsii subsp. damsii,CACTACEA/SUCULENTA
CA-179,,Gymnocalycium baldianum,CACTACEA/SUCULENTA
MAX,Manzano,Malus sp,FRONDOSA
CA-181,,Gymnocalycium horstii,CACTACEA/SUCULENTA
CA-182,,Gymnocalycium mihanovichii,CACTACEA/SUCULENTA
CA-183,,Gymnocalycium pflanzii,CACTACEA/SUCULENTA
CA-184,,Gymnocalycium saglionis,CACTACEA/SUCULENTA
CA-187,,Harrisia tetracantha,CACTACEA/SUCULENTA
CA-186,,Harrisia tortuosa,CACTACEA/SUCULENTA
MCOC,Manzano de flor japonés,Malus coccinella 'Courtarou',FRONDOSA
CA-415,,Haworthia cassytha,CACTACEA/SUCULENTA
CA-416,,Haworthia cuspidata,CACTACEA/SUCULENTA
CA-417,,Haworthia fasciata,CACTACEA/SUCULENTA
CA-419,,Haworthia limifolia,CACTACEA/SUCULENTA
CA-421,,Haworthia pumila,CACTACEA/SUCULENTA
CA-422,,Haworthia reinwardtii,CACTACEA/SUCULENTA
CA-424,,Haworthia hybrida,CACTACEA/SUCULENTA
ST-238,,Hedychium coronarium,SUBTROPICAL/TROPICAL
ST-239,,Hedychium gardnerianum,SUBTROPICAL/TROPICAL
TR-425,,Hedychium rubrum,SUBTROPICAL/TROPICAL
TR-423,,Hedychium thyrsiforme,HERB_PERENNES
ST-098,,Helichrysum petiolatum,HERB_PERENNES
TR-265,,Heliconia schiedeana,HERB_PERENNES
TR-003,,Hemigraphis colorata,SUBTROPICAL/TROPICAL
CA-070,,Hesperoyucca whipplei,CACTACEA/SUCULENTA
TR-304,,Hibiscus acetosella,ARBUSTO
TR-301,,Hibiscus rosa-sinensis 'Cooperi',ARBUSTO
TR-308,,Hibiscus schizopetalus,ARBUSTO
CA-032,,Hoodia gordonii,CACTACEA/SUCULENTA
CA-033,,Hoya carnosa,TAPIZANTE/TREPADORA
TR-202,,Hylocereus undatus,CACTACEA/SUCULENTA
TR-004,,Hypoestes phyllostachya,HERB_PERENNES
TR-147,,Impatiens hawkeri 'Sunpatiens',HERB_ANUAL
TR-148,,Impatiens walleriana,HERB_ANUAL
TR-235,,Ipomoea batatas 'Margarita',HERB_PERENNES
CA-300,,Ipomoea bolusiana,HERB_PERENNES
TR-027,,Iresine herbstii 'Auroreticulata',HERB_PERENNES
TR-028,,Iresine herbstii 'Wallisi',HERB_PERENNES
CA-191,,Isolatocereus dumortieri,CACTACEA/SUCULENTA
TR-203,,Isotoma asillaris,SUBTROPICAL/TROPICAL
TR-387,,Ixora chinensis,SUBTROPICAL/TROPICAL
TR-405,,Juanulloa aurantiaca,SUBTROPICAL/TROPICAL
TR-006,,Justicia brandegeeana,SUBTROPICAL/TROPICAL
TR-007,,Justicia brasiliana,SUBTROPICAL/TROPICAL
TR-008,,Justicia carnea,SUBTROPICAL/TROPICAL
CA-328,,Kalanchoe beharensis,CACTACEA/SUCULENTA
CA-329,,Kalanchoe daigremontiana,CACTACEA/SUCULENTA
CA-330,,Kalanchoe dinklagei,CACTACEA/SUCULENTA
CA-332,,Kalanchoe orgyalis,CACTACEA/SUCULENTA
CA-334,,Kalanchoe scapigera,CACTACEA/SUCULENTA
CA-335,,Kalanchoe synsepala,CACTACEA/SUCULENTA
CA-336,,Kalanchoe tetraphylla,CACTACEA/SUCULENTA
CA-337,,Kalanchoe tomentosa,CACTACEA/SUCULENTA
TR-115,,Latania loddigesii,SUBTROPICAL/TROPICAL
ST-152,,Laurus novocanariensis,FRONDOSA
ST-143,,Lavandula canariensis,ARBUSTO
TR-416,,Leea guineensis,HERB_PERENNES
TR-283,,Leucaena leucocephala,SUBTROPICAL/TROPICAL
CA-192,,Leuchtenbergia principis,CACTACEA/SUCULENTA
CA-193,,Lobivia jajoiana,CACTACEA/SUCULENTA
CA-194,,Lophocereus schottii,CACTACEA/SUCULENTA
CA-195,,Lophocereus schottii f. mieckleyanus,CACTACEA/SUCULENTA
CA-196,,Lophophora diffusa,CACTACEA/SUCULENTA
CA-197,,Lophophora williamsii,CACTACEA/SUCULENTA
TR-378,,Macadamia integrifolia,SUBTROPICAL/TROPICAL
ST-235,,Macrozamia moorei,SUBTROPICAL/TROPICAL
TR-298,,Malpighia emarginata,SUBTROPICAL/TROPICAL
ST-160,,Malva canariensis,HERB_PERENNES
CA-200,,Mammillaria albilanata,CACTACEA/SUCULENTA
CA-201,,Mammillaria backerbegiana,CACTACEA/SUCULENTA
CA-203,,Mammillaria bombycina,CACTACEA/SUCULENTA
CA-204,,Mammillaria candida,CACTACEA/SUCULENTA
CA-198,,Mammillaria carmenae,CACTACEA/SUCULENTA
CA-206,,Mammillaria compressa,CACTACEA/SUCULENTA
CA-207,,Mammillaria decipiens subsp. camptotricha,CACTACEA/SUCULENTA
CA-208,,Mammillaria elongata,CACTACEA/SUCULENTA
CA-209,,Mammillaria elongata 'Rubrispina',CACTACEA/SUCULENTA
MLB,Magnolio de Loebner,Magnolia x loebneri,FRONDOSA
CA-199,,Mammillaria gracilis,CACTACEA/SUCULENTA
CA-211,,Mammillaria hahniana,CACTACEA/SUCULENTA
CA-212,,Mammillaria karwinskiana subsp. nejapensis,CACTACEA/SUCULENTA
CA-213,,Mammillaria matudae,CACTACEA/SUCULENTA
CA-214,,Mammillaria parkinsonii,CACTACEA/SUCULENTA
CA-215,,Mammillaria rhodantha subsp. pinglei,CACTACEA/SUCULENTA
ST-157,,Lotus berthelotii,SUBTROPICAL/TROPICAL
CA-217,,Mammillaria spinosissima,CACTACEA/SUCULENTA
CA-218,,Mammillaria spinosissima 'Rubrispina',CACTACEA/SUCULENTA
CA-219,,Mammillaria standleyi,CACTACEA/SUCULENTA
CA-220,,Mammillaria vagaspina,CACTACEA/SUCULENTA
CA-221,,Mammillaria voburnensis,CACTACEA/SUCULENTA
LFR,Madreselva,Lonicera fragantissima,TAPIZANTE/TREPADORA
TR-040,,Mangifera indica,SUBTROPICAL/TROPICAL
TR-431,,Manilkara zapota,SUBTROPICAL/TROPICAL
TR-319,,Maranta leuconeura,SUBTROPICAL/TROPICAL
CA-222,,Marginatocereus marginatus,CACTACEA/SUCULENTA
ST-022,,Marsdenia floribunda,TAPIZANTE/TREPADORA
ST-090,,Maytenus canariensis,SUBTROPICAL/TROPICAL
TR-019,,Megaskepasma erythrochlamys,SUBTROPICAL/TROPICAL
CA-224,,Melocactus matanzanus,CACTACEA/SUCULENTA
CA-225,,Melocactus neryi,CACTACEA/SUCULENTA
TR-295,,Michelia alba,SUBTROPICAL/TROPICAL
TR-284,,Mimosa pudica,SUBTROPICAL/TROPICAL
ST-190,,Muehlenbeckia complexa,HERB_PERENNES
ST-170,,Musa acuminata,SUBTROPICAL/TROPICAL
ST-171,,Musa balbisiana,SUBTROPICAL/TROPICAL
ST-172,,Musa ornata,SUBTROPICAL/TROPICAL
ST-173,,Ensete lasiocarpum,SUBTROPICAL/TROPICAL
CA-226,,Myrtillocactus geometrizans,CACTACEA/SUCULENTA
CA-228,,Neobuxbaumia polylopha,CACTACEA/SUCULENTA
CA-232,,Neoraimondia herziogana,CACTACEA/SUCULENTA
TR-191,,Neoregelia carolinae,SUBTROPICAL/TROPICAL
TR-197,,Neoregelia 'Fireball',SUBTROPICAL/TROPICAL
TR-386,,Nertera granadensis,SUBTROPICAL/TROPICAL
CA-071,,Beaucarnea gracilis,SUBTROPICAL/TROPICAL
CA-234,,Notocactus schlosseri,CACTACEA/SUCULENTA
TR-020,,Odontonema schomburgkianum,HERB_PERENNES
TR-009,,Odontonema tubaeforme,HERB_PERENNES
CA-235,,Opuntia articulata,CACTACEA/SUCULENTA
CA-236,,Opuntia leucotricha,CACTACEA/SUCULENTA
CA-237,,Opuntia macrocentra,CACTACEA/SUCULENTA
CA-238,,Opuntia microdasys 'Caress',CACTACEA/SUCULENTA
CA-239,,Opuntia microdasys subsp. rufida,CACTACEA/SUCULENTA
CA-241,,Oreocereus fossulatus,CACTACEA/SUCULENTA
ST-032,,Oreopanax nymphaeifolius,SUBTROPICAL/TROPICAL
CA-242,,Oroya peruviana,CACTACEA/SUCULENTA
ST-095,,Osteospermum ecklonis,HERB_PERENNES
TR-352,,Oxalis trianagularis,HERB_PERENNES
CA-243,,Pachycereus pringlei,CACTACEA/SUCULENTA
CA-338,,Pachyphytum oviferum,CACTACEA/SUCULENTA
CA-034,,Pachypodium bispinosum,CACTACEA/SUCULENTA
CA-035,,Pachypodium geayi,CACTACEA/SUCULENTA
CA-036,,Pachypodium lamerei,CACTACEA/SUCULENTA
CA-037,,Pachypodium saundersii,CACTACEA/SUCULENTA
TR-299,,Pachira aquatica,SUBTROPICAL/TROPICAL
TR-010,,Pachystachys lutea,SUBTROPICAL/TROPICAL
TR-357,,Pandanus tectorius,SUBTROPICAL/TROPICAL
CA-245,,Parodia haselbergii,CACTACEA/SUCULENTA
CA-246,,Parodia leninghausii,CACTACEA/SUCULENTA
CA-247,,Parodia magnifica,CACTACEA/SUCULENTA
CA-248,,Parodia sanguiniflora,CACTACEA/SUCULENTA
CA-250,,Parodia submammulosa,CACTACEA/SUCULENTA
TR-359,,Passiflora alata,TAPIZANTE/TREPADORA
TR-360,,Passiflora edulis,TAPIZANTE/TREPADORA
TR-358,,Passiflora perfoliata,TAPIZANTE/TREPADORA
TR-394,,Paullinia rubiginosa,SUBTROPICAL/TROPICAL
ST-125,,Pelargonium graveolens,HERB_PERENNES
AMAL,,Amelanchier alnifolia,
ST-112,,Pelargonium alternans,HERB_PERENNES
ST-114,,Pelargonium 'Atomic Snowflakes',HERB_PERENNES
ST-244,,Pelargonium betulinum,HERB_PERENNES
ST-115,,Pelargonium 'Both´s Snowflake',HERB_PERENNES
ST-116,,Pelargonium 'Brunswick',HERB_PERENNES
ST-117,,Pelargonium 'Candy Dancer',HERB_PERENNES
ST-118,,Pelargonium 'Capri',HERB_PERENNES
ST-245,,Pelargonium carnosum,HERB_PERENNES
ST-119,,Pelargonium 'Charmay Marjorie',HERB_PERENNES
ST-121,,Pelargonium 'Copthorne',HERB_PERENNES
ST-122,,Pelargonium cordifolium,HERB_PERENNES
ST-123,,Pelargonium 'Cy´s Sunburst',HERB_PERENNES
ST-139,,Pelargonium 'Deerwood Lavender',HERB_PERENNES
ST-124,,Pelargonium 'Eskay Sugar Candy',HERB_PERENNES
ST-242,,Pelargonium gibbosum,HERB_PERENNES
ST-126,,Pelargonium 'Henry Weller',HERB_PERENNES
ST-127,,Pelargonium 'Lara Starshine',HERB_PERENNES
ST-138,,Pelargonium 'Lavender Lindy',HERB_PERENNES
ST-128,,Pelargonium 'Mons Ninon',HERB_PERENNES
ST-129,,Pelargonium panduriforme,HERB_PERENNES
ST-130,,Pelargonium 'Quantock Candy',HERB_PERENNES
ST-131,,Pelargonium 'Quantock Classic',HERB_PERENNES
C004K,Rosal 'Manou Meilland',Rosa 'Manou Meilland',ARBUSTO
ST-133,,Pelargonium quercifolium 'Fair Ellen',HERB_PERENNES
ST-134,,Pelargonium 'Robin´s Unique',HERB_PERENNES
ST-135,,Pelargonium 'Scarlet Unique',HERB_PERENNES
ST-243,,Pelargonium sidoides,HERB_PERENNES
ST-241,,Pelargonium tetragonum,HERB_PERENNES
ST-136,,Pelargonium 'The Boar',HERB_PERENNES
ST-137,,Pelargonium x kewense,HERB_PERENNES
ST-113,,Pelargonium 'April Shower',HERB_PERENNES
TR-388,,Pentas lanceolata,HERB_PERENNES
TR-362,,Peperomia glabella,SUBTROPICAL/TROPICAL
TR-364,,Peperomia obtusifolia,SUBTROPICAL/TROPICAL
LISW,Liquidambar piramidal,Liquidambar styraciflua 'Worplesdon',FRONDOSA
TR-365,,Peperomia scanden 'Variegata',SUBTROPICAL/TROPICAL
TR-199,,Pereskia aculeata,CACTACEA/SUCULENTA
CA-252,,Pereskia grandifolia,CACTACEA/SUCULENTA
ST-154,,Persea indica,ARBUSTO
TR-071,,Philodendron bipinnatifidum,SUBTROPICAL/TROPICAL
TR-072,,Philodendron erubescens,SUBTROPICAL/TROPICAL
LJA,Aligustre del Japón,Ligustrum japonicum,ARBUSTO
TR-074,,Philodendron hederaceum,SUBTROPICAL/TROPICAL
TR-075,,Philodendron xanadu,SUBTROPICAL/TROPICAL
TR-374,,Phlebodium aureum,SUBTROPICAL/TROPICAL
TR-116,,Licuala grandis,SUBTROPICAL/TROPICAL
ST-181,,Picconia excelsa,ARBUSTO
TR-412,,Pilea cadierei,HERB_PERENNES
TR-409,,Pilea depressa,HERB_PERENNES
TR-414,,Pilea involucrata,HERB_PERENNES
TR-441,,Pilea spruceana 'Norfok',HERB_PERENNES
TR-442,,Pilea spruceana 'Silver Tree',HERB_PERENNES
CA-253,,Pilosocereus azureus,CACTACEA/SUCULENTA
CA-254,,Pilosocereus chrysostele,CACTACEA/SUCULENTA
CA-256,,Pilosocereus pachycladus,CACTACEA/SUCULENTA
ST-184,,Pittosporum crassifolium,ARBUSTO
TR-375,,Platycerium bifurcatum,SUBTROPICAL/TROPICAL
TR-278,,Plectranthus argentatus,SUBTROPICAL/TROPICAL
ST-144,,Plectranthus barbatus,SUBTROPICAL/TROPICAL
ST-145,,Plectranthus caninus,SUBTROPICAL/TROPICAL
TR-270,,Plectranthus ecklonii 'Mona Lavender',SUBTROPICAL/TROPICAL
TR-271,,Plectranthus glabratus,SUBTROPICAL/TROPICAL
ST-147,,Plectranthus montanus,SUBTROPICAL/TROPICAL
TR-277,,Plectranthus oertendahlii 'Lime Light',SUBTROPICAL/TROPICAL
CA-008,,Pleiospilos nelii,CACTACEA/SUCULENTA
ST-185,,Plumbago indica,HERB_PERENNES
TR-055,,Plumeria pudica,HERB_PERENNES
TR-273,,Pogostemon cablin,HERB_PERENNES
CA-260,,Polaskia chende,CACTACEA/SUCULENTA
CA-261,,Polaskia chichipe,CACTACEA/SUCULENTA
TR-090,,Polyscias fruticosa,HERB_PERENNES
TR-091,,Polyscias scutellaria 'Fabian',HERB_PERENNES
ST-108,,Polystichum polyblepharum,HERB_PERENNES
CA-348,,Portulacaria afra 'Lemon',CACTACEA/SUCULENTA
TR-432,,Pouteria campechiana,SUBTROPICAL/TROPICAL
ST-050,,Pritchardia hillebrandii,PALMACEA
TR-011,,Pseuderanthemum carruthersii 'Reticulatum',HERB_PERENNES
TR-324,,Psidium guajava,SUBTROPICAL/TROPICAL
TR-381,,Pteris cretica 'Albolineata',HERB_PERENNES
CA-384,,Pterodiscus speciosus,CACTACEA/SUCULENTA
TR-192,,Quesnelia liboniana,SUBTROPICAL/TROPICAL
TR-194,,Quesnelia quesneliana,SUBTROPICAL/TROPICAL
ST-221,,Ravenala madagascariensis,SUBTROPICAL/TROPICAL
CA-264,,Rebutia fiebrigii,CACTACEA/SUCULENTA
CA-265,,Rebutia marsoneri,CACTACEA/SUCULENTA
CA-267,,Rebutia muscula,CACTACEA/SUCULENTA
ST-195,,Rhamnus crenulata,ARBUSTO
ST-196,,Rhamnus glandulosa,ARBUSTO
ST-200,,Rhaphiolepis x delacourii,ARBUSTO
CA-268,,Rhipsalis baccifera,CACTACEA/SUCULENTA
CA-270,,Ritterocactus uebelmannianus,CACTACEA/SUCULENTA
ST-201,,Rubia fruticosa,SUBTROPICAL/TROPICAL
TR-012,,Ruellia brevifolia,HERB_PERENNES
