Código,Nombre común,Nombre científico,Tipo de planta
RWPN,Rosal 'Paul Noël',Rosa 'Paul Noël',ARBUSTO
RWPR,Rosal 'Parkdirektor Riggers',Rosa 'Parkdirektor Riggers',ARBUSTO
RWRR,Rosal 'Rambling Rector',Rosa 'Rambling Rector',ARBUSTO
RWSI,Rosal 'Scepter'd Isle',Rosa 'Scepter'd Isle',ARBUSTO
SEMU,Pampajarillo murale,Sedum murale,CACTACEA/SUCULENTA
TECH,Encinilla,Teucrium chamaedrys,ARBUSTO
TRHY,Alsike,Trifolium hybridum,HERB_PERENNES
TRPR,Trebol rojo,Trifolium pratense,HERB_PERENNES
TRRS,Trébol persa,Trifolium resupinatum,HERB_PERENNES
USAG,Olmo resistente a la grafiosis,Ulmus 'Sapporo Autumn Gold' resista,FRONDOSA
VILA,Violeta de El Labrador,Viola labradorica,HERB_ANUAL
JDR,,Juniperus drupacea,CONIFERA
RINI,Grosellero negro,Ribes nigrum,ARBUSTO
RIRU,Grosellero rojo,Ribes rubrum,ARBUSTO
APAD,Arce palmeado japonés,Acer palmatum 'Dissectum',FRONDOSA
ARUO,Arce rojo,Acer rubrum 'October Glory',FRONDOSA
ALBR,Cebolla de la suerte,Albuca bracteata,HERB_PERENNES
ARDI,Plumas de novia,Aruncus dioicus,HERB_PERENNES
ASFI,Gamoncillo,Asphodelus fistulosus,HERB_PERENNES
BRMS,Lengua de buey 'Sea heart',Brunnera macrophylla 'Sea heart',HERB_PERENNES
CEPL,Falso plumbago,Ceratostigma plumbaginoides,HERB_PERENNES
CICL,Romero macho,Cistus clusii,ARBUSTO
CIDD,Jara de hoja de salvia,Cistus x dansereaui 'Decumbens',ARBUSTO
DICA,Azucena azul,Dianella caerulea,HERB_PERENNES
EDTO,Arbusto del papel,Edgeworthia tomentosa,ARBUSTO
FPEC,Fresno rojo americano,Fraxinus pennsylvanica 'Cimmzam',FRONDOSA
HOCO,Hotunia,Houttuynia cordata,HERB_PERENNES
LCHR,Lavanda,Lavandula x chaytoriae 'Richard Gray',ARBUSTO
LOCF,Loropétalo 'Fire Dance',Loropetalum chinense 'Fire Dance',ARBUSTO
LOCO,Loto corniculado,Lotus corniculatus,SUBTROPICAL/TROPICAL
MYAF,Boj africano,Myrsine africana,ARBUSTO
NDOF,Bambú sagrado,Nandina domestica 'Fire Power',HERB_PERENNES
NOLW,Adelfa 'Petite White',Nerium oleander 'Petite White',ARBUSTO
PORK,Hierba oriental,Pennisetum 'Karley Rose',HERB_PERENNES
PIMI,Mijo negrillo,Piptatherum miliaceum,HERB_PERENNES
POSP,Pontederia,Pontederia sp,HERB_PERENNES
PSPU,Centaurea,Psephellus pulcherrimus,HERB_PERENNES
SACH,Salvia,Salvia 'Christine Yeo',HERB_PERENNES
TRAS,Jazmin asiatico,Trachelospermum asiaticum,TAPIZANTE/TREPADORA
UGMO,Murta,Ugni molinae,ARBUSTO
VISA,Veza común,Vicia sativa,HERB_PERENNES
WONO,Pino de Wollemi,Wollemia nobilis,CONIFERA
RDAE,Rodgersia,Rodgersia aesculifolia,CACTACEA/SUCULENTA
LYBA,Goji (Goyi),Lycium barbarum,ARBUSTO
MFLP,Manzano de flor japonés,Malus floribunda 'Profusion',FRONDOSA
PVIS,Cerezo de virginia,Prunus virginiana Shubert Select',FRONDOSA
PRYE,Cerezo Yoshino,Prunus x yedoensis,FRONDOSA
SPSA,Espirea sauce,Spiraea salicifolia,ARBUSTO
ERUM,Siete camisas,Escallonia rubra var. macrantha,ARBUSTO
IRPS,Lirio amarillo,Iris pseudacorus,HERB_PERENNES
